[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[2, 1, 0, -1, -2, -3, -4, -5, -6, -7]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[0, 1, 4, 9, 16, 25, 36, 49, 64, 81]
[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 3, 8, 15, 24, 35, 48, 63, 80, 99]
[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
[-2, -1, 0, 1, 2, 3, 4, 5, 6, 7]
[1, 0, -1, -2, -3, -4, -5, -6, -7, -8]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[1, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[-1, -2, -1, 2, 7, 14, 23, 34, 47, 62]
[-2, -1, 0, 1, 2, 3, 4, 5, 6, 7]
[1, 2, 5, 10, 17, 26, 37, 50, 65, 82]
[0, 2, 6, 12, 20, 30, 42, 56, 72, 90]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[0, 1, 2, 3, 0, 0, 0, 0, 0, 0]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[1, 2, 5, 10, 17, 26, 37, 50, 65, 82]
[1, 3, 5, 7, 9, 11, 13, 15, 17, 19]
[0, 2, 2, 2, 2, 2, 2, 2, 2, 2]
[0, -1, -2, -3, -4, -5, -6, -7, -8, -9]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
[-1, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[0, -1, -2, -3, -4, -5, -6, -7, -8, -9]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[1, 0, -1, -2, -3, -4, -5, -6, -7, -8]
[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
[-1, 1, 3, 5, 7, 9, 11, 13, 15, 17]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[-1, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[2, 1, 0, -1, -2, -3, -4, -5, -6, -7]
[1, 0, -1, -2, -3, -4, -5, -6, -7, -8]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[-2, -1, 0, 1, 2, 3, 4, 5, 6, 7]
[-2, -1, 0, 1, 2, 3, 4, 5, 6, 7]
[0, -1, -2, -3, -4, -5, -6, -7, -8, -9]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[1, 0, -1, -2, -3, -4, -5, -6, -7, -8]
[1, 0, -1, -2, -3, -4, -5, -6, -7, -8]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[-1, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[2, 1, 0, -1, -2, -3, -4, -5, -6, -7]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[0, 3, 6, 9, 12, 15, 18, 21, 24, 27]
[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]
[0, 1, 4, 9, 16, 25, 36, 49, 64, 81]
[1, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[1, 1, 2, 4, 7, 11, 16, 22, 29, 37]
[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
[2, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[0, 2, 6, 12, 20, 30, 42, 56, 72, 90]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[-4, -2, 0, 2, 4, 6, 8, 10, 12, 14]
[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[1, 0, -1, -2, -3, -4, -5, -6, -7, -8]
[1, -1, -3, -5, -7, -9, -11, -13, -15, -17]
[0, -1, -2, -3, -4, -5, -6, -7, -8, -9]
[4, 2, 0, -2, -4, -6, -8, -10, -12, -14]
[2, 1, 0, -1, -2, -3, -4, -5, -6, -7]
[1, 3, 5, 7, 9, 11, 13, 15, 17, 19]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[2, 1, 0, -1, -2, -3, -4, -5, -6, -7]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[-1, -2, -3, -4, -5, -6, -7, -8, -9, -10]
[0, -2, -4, -6, -8, -10, -12, -14, -16, -18]
[0, 1, 4, 9, 16, 25, 36, 49, 64, 81]
[3, 2, 1, 0, -1, -2, -3, -4, -5, -6]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[1, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[0, -1, -2, -3, -4, -5, -6, -7, -8, -9]
[1, 0, -1, -2, -3, -4, -5, -6, -7, -8]
[-3, -4, -5, -6, -7, -8, -9, -10, -11, -12]
[-1, 0, 3, 8, 15, 24, 35, 48, 63, 80]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[-2, -1, 0, 1, 2, 3, 4, 5, 6, 7]
[2, 0, -2, -4, -6, -8, -10, -12, -14, -16]
[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, -1, 0, 9, 32, 75, 144, 245, 384, 567]
[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[0, -4, -8, -12, -16, -20, -24, -28, -32, -36]
[1, -2, -2, -2, -2, -2, -2, -2, -2, -2]
[0, -1, -2, -3, -4, -5, -6, -7, -8, -9]
